UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
2021-00000011,01/01/21 01:16,01/01/21 01:16,Emergency Petition,CBE,Baltimore Ave / College Ave
2021-00000015,01/01/21 02:37,01/01/21 02:37,Suicide,CBE,340 block of  Ehrensberger  Dr
2021-00000117,12/31/20 23:19,01/01/21 14:57,Accident - Departmental,CBE,Taylor Mill Rd / Md-213
2021-00000362,01/02/21 10:30,01/02/21 10:43,Assist Other Agency,CBE,8700 block of  Baltimore  Ave
2021-00000417,12/31/20 11:59,01/02/21 19:20,Damage to State Property,Summons Issued,"Commons 2, SCC 2, South Campus Commons 2 at 7524  Calvert Service  Ln"
2021-00000618,01/03/21 19:53,01/03/21 19:53,Suspicious Activity,Arrest,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2021-00000779,01/04/21 11:14,01/04/21 11:14,Other Incident,Active/Pending,Adelphi  Rd
2021-00000839,01/04/21 19:38,01/04/21 19:38,Fire,CBE,4300 block of  Rowalt  Dr
2021-00001794,01/07/21 23:50,01/07/21 23:50,CDS Violation,Arrest,Baltimore  Ave
2021-00001820,01/08/21 02:42,01/08/21 02:42,Fire,CBE,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535  College  Ave"
2021-00002031,01/09/21 00:23,01/09/21 00:23,Emergency Petition,CBE,5100 block of  Campus  Dr
2021-00002465,01/10/21 09:14,01/10/21 09:14,Theft,Arrest,"Leonardtown #244, Leonardtown at 4673  Rossborough  Ln"
2021-00002998,01/12/21 09:09,01/12/21 09:33,Injured/Sick Person,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2021-00003024,01/03/21 17:00,01/12/21 12:16,Dept Property Damage/Loss,Active/Pending,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00003685,01/13/21 11:15,01/14/21 08:42,Theft from Auto,Investigation Pending,University Courtyard #7 at 8700  Boteler  Ln
2021-00003689,11/22/20 15:00,01/14/21 09:25,Vandalism,Active/Pending,
2021-00003714,01/13/21 12:00,01/14/21 11:46,Title IX Incident Non Criminal,CBE,4300 block of  Knox  Rd
2021-00003804,01/14/21 21:36,01/14/21 21:36,Suspicious Activity,CBE,4300 block of  Rowalt  Dr
2021-00003970,01/15/21 14:18,01/15/21 14:18,Suspicious Activity,CBE,7600 block of  Mowatt  Ln
2021-00004029,01/15/21 18:36,01/15/21 18:36,Assist Other Agency,CBE,5200 block of  Campus  Dr
2021-00004284,01/16/21 20:02,01/16/21 20:02,CDS Violation,Arrest,Lot 1b
2021-00004689,01/18/21 02:25,01/18/21 02:25,Alcohol Violation,Arrest,Baltimore  Ave
2021-00004728,01/18/21 02:30,01/18/21 04:42,Assist Other Agency,CBE,4700 block of  Norwich  Rd
2021-00005029,01/15/21 06:45,01/19/21 08:11,Vandalism,Investigation Pending,Lot RR2
2021-00005115,01/14/21 09:00,01/19/21 14:15,Theft,Investigation Pending,"Laboratory for Physical Sciences, LPS at 8050  Greenmead  Dr"
2021-00005116,01/19/21 14:22,01/19/21 14:22,Injured/Sick Person,CBE,"Arena Drive Parking Garage, Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl"
2021-00005134,01/19/21 13:30,01/19/21 16:25,Theft,Summons Issued,4000 block of  Stadium  Dr
2021-00005892,01/22/21 04:35,01/22/21 04:35,Injured/Sick Person,CBE,4000 block of  Union  Dr
2021-00006130,01/22/21 22:40,01/22/21 22:40,CDS Violation,Arrest,Campus  Dr
2021-00006182,01/23/21 02:46,01/23/21 02:46,CDS Violation,Arrest,Greenbelt  Rd
2021-00006310,01/23/21 11:00,01/23/21 11:59,Injured/Sick Person,CBE,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2021-00006334,01/23/21 15:19,01/23/21 15:19,CDS Violation,Arrest,3900 block of  Denton Service  Ln
2021-00006640,01/18/21 12:00,01/24/21 17:33,Assist Other Agency,Active/Pending,7500 block of  Dickinson  Ave
2021-00006671,01/24/21 20:41,01/24/21 20:42,Injured/Sick Person,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2021-00006690,01/24/21 23:00,01/24/21 23:09,Harassment/Stalking,Active/Pending,7500 block of  Preinkert  Dr
2021-00006943,01/25/21 16:00,01/25/21 17:39,Assist Other Agency,CBE,4700 block of  Mangum  Rd
2021-00007115,01/12/21 08:00,01/26/21 08:48,Theft,Unfounded,4300 block of  Terrapin  Trl
2021-00007116,01/26/21 09:22,01/26/21 09:22,Disorderly Conduct,Active/Pending,7900 block of  Regents  Dr
2021-00007156,01/26/21 13:37,01/26/21 13:37,Recovered Stolen Motor Vehicle,Arrest,South Gate at 7567  Regents  Dr
2021-00007337,01/27/21 10:16,01/27/21 10:16,Injured/Sick Person,CBE,7300 block of  Dickinson  Ave
2021-00007649,10/31/19 07:00,01/28/21 11:05,Theft,Arrest,8100 block of  Paint Branch  Dr
2021-00007718,01/28/21 18:48,01/28/21 18:48,Recovered Stolen Property,Arrest,269 at 4315  Rowalt  Dr
2021-00007872,10/01/20 08:30,01/29/21 08:45,Theft,Arrest,8100 block of  Paint Branch  Dr
2021-00007913,01/29/21 12:25,01/29/21 12:25,Assist Other Agency,CBE,8100 block of  Baltimore  Ave
2021-00007974,01/29/21 20:10,01/29/21 20:28,Injured/Sick Person,CBE,"Prince Frederick, Prince Frederick Hall at 7030  Preinkert  Dr"
2021-00008316,01/31/21 00:06,01/31/21 00:06,Injured/Sick Person,CBE,McKeldin Mall
2021-00008554,01/31/21 18:47,01/31/21 18:47,Warrant/Summons Service,Arrest,8300 block of  Boteler  Ln
2021-00008732,01/28/21 18:49,02/01/21 10:34,Harassment/Stalking,Active/Pending,4000 block of  Campus  Dr
2021-00008883,02/01/21 22:41,02/01/21 22:41,Injured/Sick Person,CBE,4300 block of  Knox  Rd
2021-00009050,02/02/21 10:09,02/02/21 10:09,Other Incident,CBE,4300 block of  Hartwick  Rd
2021-00009116,01/25/21 08:00,02/02/21 15:52,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569  Baltimore  Ave"
2021-00009150,02/02/21 18:30,02/02/21 18:44,Injured/Sick Person,CBE,"Denton Area Dining Hall, Denton Dining Hall at 3951  Denton Service  Ln"
2021-00009227,02/02/21 23:42,02/02/21 23:47,CDS Violation,Arrest,340 block of  Ehrensberger  Dr
2021-00009230,02/03/21 01:24,02/03/21 01:24,CDS Violation,CBE,Lot 2a
2021-00009249,02/03/21 06:21,02/03/21 06:21,Assist Other Agency,CBE,4200 block of  Valley  Dr
2021-00009262,02/02/21 17:22,02/03/21 08:53,Vandalism,CBE,"Prince Frederick, Prince Frederick Hall at 7030  Preinkert  Dr"
2021-00009409,02/04/21 00:11,02/04/21 00:11,DWI/DUI,Arrest,7500 block of  Mowatt  Ln
2021-00009427,02/04/21 01:45,02/04/21 01:45,Traffic Offense,CBE,University  Blvd
2021-00009507,02/04/21 16:36,02/04/21 16:36,Trespassing,CBE,Adelphi  Rd
2021-00009617,02/05/21 03:30,02/05/21 03:34,Burglary,CBE,4200 block of  Lehigh  Rd
2021-00009715,02/05/21 15:16,02/05/21 15:31,Warrant/Summons Service,Arrest,University Courtyard #5 at 8500  Boteler  Ln
2021-00009797,02/05/21 21:54,02/05/21 21:54,CDS Violation,Arrest,Lot A
