2024-00107842;06/22/24 16:42;06/22/24 16:42;Stolen Motor Vehicle;Juvenile Arrest;Lot 6, PG4, Terrapin Trail Parking Garage, TTG at 4155  Terrapin  Trl
2024-00110317;06/29/24 00:51;06/29/24 00:45;Emergency Petition;CBE;Baltimore  Ave
2024-00110329;06/29/24 01:16;06/29/24 01:16;DWI/DUI;Arrest;Baltimore  Ave
2024-00110369;06/29/24 03:22;06/29/24 03:22;DWI/DUI;Arrest;Greenbelt  Rd
2024-00110706;06/30/24 02:20;06/30/24 02:20;DWI/DUI;Arrest;University  Blvd
2024-00110733;06/30/24 03:42;06/30/24 03:58;Assist Other Agency / Other;CBE;7-11 Guilford, 7-Eleven Guilford at 7201  Baltimore  Ave
2024-00111027;06/30/24 23:17;06/30/24 23:17;Other Incident;CBE;4300 block of  Rowalt  Dr
2024-00111030;06/30/24 23:40;06/30/24 23:40;DWI/DUI;Arrest;Greenbelt  Rd
2024-00111066;07/01/24 01:34;07/01/24 01:34;DWI/DUI;Arrest;Baltimore  Ave
2024-00111195;06/30/24 23:00;07/01/24 09:50;Vandalism;Active/Pending;Club House, Golf Course Club House at 3800  Golf Course  Rd
2024-00111285;07/01/24 11:30;07/01/24 13:40;Theft;Active/Pending;Football Team House, Gossett, Gossett Hall at 4068  Fieldhouse  Dr
2024-00111656;07/02/24 07:01;07/02/24 11:56;Fire;CBE;8200 block of  Paint Branch  Dr
2024-00111659;07/02/24 12:23;07/02/24 12:26;Assist Other Agency / Other;CBE;Baltimore  Ave
2024-00111739;05/24/24 00:00;07/02/24 18:37;Theft;Active/Pending;4200 block of  Farm  Dr
2024-00111752;07/02/24 18:25;07/02/24 19:18;Theft;Active/Pending;Club House, Golf Course Club House at 3800  Golf Course  Rd
2024-00111781;07/02/24 18:00;07/02/24 21:16;Theft;Active/Pending;68, Eppley, Eppley Recreation Center, ERC at 4128  Valley  Dr
2024-00111982;07/03/24 00:31;07/03/24 06:04;Assist Other Agency / Trespassing;Active/Pending;7300 block of  Baltimore  Ave
