UMPD CASENUMBER,OCCURRED DATE TIMELOCATION,REPORT DATE TIME,TYPE,DISPOSITION,LOCATION
2022-00007183,01/28/22 08:00,02/01/22 11:04,Fraud,Active/Pending,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00007290,02/01/22 23:25,02/01/22 23:25,Alcohol Violation,CBE,3900 block of  Denton Service  Ln
2022-00007373,01/26/22 10:48,02/02/22 09:58,Telephone/EMail Misuse,CBE,8000 block of  La Plata  Dr
2022-00007383,02/02/22 11:29,02/02/22 11:29,Check on the  Welfare,CBE,3400 block of  Tulane  Dr
2022-00007406,01/31/22 12:00,02/02/22 16:40,Theft,Investigation Pending,"26, South Campus Dining Hall at 7093  Preinkert  Dr"
2022-00007424,09/14/21 08:30,02/02/22 18:21,Title IX Incident Non Criminal,CBE,"Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2022-00007467,02/03/22 00:24,02/03/22 00:24,Injured/Sick Person,CBE,"Nyumburu, Nyumburu Cultural Center at 4018  Campus  Dr"
2022-00007493,02/02/22 20:00,02/03/22 02:47,Injured/Sick Person,CBE,"Easton, Easton Hall at 3917  Denton Service  Ln"
2022-00007653,02/03/22 19:34,02/03/22 19:34,Emergency Petition,Active/Pending,3400 block of  Tulane  Dr
2022-00007663,02/03/22 21:42,02/03/22 21:42,Assist Other Agency / Check on the Welfare,CBE,7500 block of  Princeton  Ave
2022-00007726,02/04/22 02:34,02/04/22 02:34,Injured/Sick Person,CBE,La Plata Hall at 8160  La Plata  Dr
2022-00007811,02/04/22 11:40,02/04/22 11:40,Injured/Sick Person,CBE,8200 block of  Paint Branch  Dr
2022-00007817,02/04/22 12:55,02/04/22 12:55,Disorderly Conduct,CBE,"Brendan Iribe Center, Iribe Center at 8125  Paint Branch  Dr"
2022-00007861,02/04/22 11:00,02/04/22 17:32,Other Service Call,CBE,Kim Engineering Building at 8228  Paint Branch  Dr
2022-00007868,02/04/22 18:00,02/04/22 18:30,Other Incident,CBE,Calvert  Rd
2022-00007887,02/03/22 07:00,02/04/22 19:59,Extortion,CBE,7500 block of  Yale  Ave
2022-00007945,02/04/22 23:15,02/04/22 23:15,CDS Violation,Arrest,Baltimore  Ave
2022-00007960,02/05/22 00:30,02/05/22 00:30,CDS Violation,Arrest,3900 block of  Denton Service  Ln
