2024-00144015,09/06/24 11:03,09/06/24 11:27,Sex Offense,Arrest,"Alpha Delta Pi Sorority, Alpha Delti Pi at 4535  College  Ave"
2024-00147910,09/12/24 15:15,09/12/24 18:42,Theft,Unfounded,3400 block of  Tulane  Dr
2024-00151375,09/17/24 11:00,09/17/24 13:51,Theft,Summons Issued,"A.V. Williams Building, AV Williams at 8223  Paint Branch  Dr"
2024-00156321,09/23/24 14:00,09/23/24 17:24,Vandalism,Investigation Pending,8200 block of  Boteler  Ln
2024-00156407,09/23/24 12:20,09/23/24 19:02,Theft,Investigation Pending,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972  Campus  Dr"
2024-00156857,09/23/24 19:00,09/24/24 09:35,Theft,Investigation Pending,"Oakland, Oakland Hall at 3912  Denton Service  Ln"
2024-00156901,09/20/24 18:00,09/24/24 11:44,Theft,Investigation Pending,"32, Montgomery, Montgomery Hall at 7570  Regents  Dr"
2024-00157639,09/24/24 15:30,09/25/24 13:10,Theft,Investigation Pending,"Denton, Denton Hall at 3854  Stadium  Dr"
2024-00159504,09/27/24 15:00,09/27/24 17:23,Theft,Warrant Issued,"91, Chemistry, Chemistry Building at 8051  Regents  Dr"
2024-00159720,09/27/24 14:37,09/27/24 21:30,Theft,Warrant Issued,"251 North, Denton Area Dining Hall at 3951  Denton Service  Ln"
2024-00162967,09/30/24 12:00,09/30/24 20:35,Theft,Investigation Pending,"Edward St. John Learning and Teaching Center, ESJ at 4131  Campus  Dr"
2024-00163986,10/01/24 19:30,10/02/24 06:49,Theft,Investigation Pending,"Prince Frederick, Prince Frederick Hall at 7030  Preinkert  Dr"
2024-00170167,10/08/24 11:00,10/08/24 12:50,Theft,Investigation Pending,"Football Team House, Gossett, Gossett Hall at 4068  Fieldhouse  Dr"
2024-00172915,10/11/24 16:00,10/11/24 18:14,Theft,Investigation Pending,4200 block of  Valley  Dr
